Review Text,Rating,Recommended IND,Review Length,Polarity,Sentiment
"This top is really pretty and nice quality. runs big - i went down a size, and its perfect. coloring is more subtle in person than in the photo.",5,1,144,0.2951388888888889,Positive
"I was so excited to splurge on a mara hoffman suit and was sorely disappointed when i received this suit in the mail. i'm petite and fairly curvy, so i knew it would likely be a little long in the torso but the whole suit was so oddly shaped, i couldn't imagine anyone it would fit. the square shape in between the halter pieces is awkward, and the pieces that are supposed to hold your chest are super wide and loose.",1,0,418,0.005941814595660752,Positive
Got so many complements! really comfy but runs big! i'm usually a large and i wish i had gotten the small.,5,1,106,0.15785714285714283,Positive
"I've ordered a pair of these from the catalog and loved them. on my next visit to a store, i picked up another color. i'm now considering getting another pair while the free shipping deal is going on. they are great pants with a great fit.",5,1,239,0.5166666666666667,Positive
"The dress is very beautiful and looks expensive. it will make a nice wedding dress. it does run quite small though. i am 5'2"" and 90-95lbs with a straight figure, but the 00p was too constricting.",5,1,196,0.21000000000000002,Positive
"The blouse is absolutely beautiful. i am 5' and the length is perfect. even though it fit a little snug across the chest, it's a keeper. i'll wear it open on the top with a nice cami underneath.",5,1,194,0.4517857142857143,Positive
"I got both colors as i'm not sure when a style that is so perfect for me will come around again. these are beautifully designed and very slimming. they are described as crops but i am 5'5"" tall and the length is perfect, approximately 1/2 above the heel of my shoe. no alterations required!!! usually retailer pants are extremely long for me but these citizens of humanity cords are the perfect length. the colors are just as pictured-i was surprised by another review that described the navy as",4,1,495,0.29090909090909095,Positive
"I rarely write reviews, but this one deserves one. this top is completely, utterly, adorable! it flows so beautifully, which makes it perfect to wear with leggings/skinny jeans. i wore mine with a blazer for a work holiday party, and i received so many compliments. this top makes you feel so feminine and pretty. i love the maeve brand, and this is certainly no exception! i'd love to get it in multiple colors!",5,1,412,0.44925595238095245,Positive
I am obsessed with peplum down coats because the ones you usually see have no shape and are extremely unflattering. i was excited for this to arrive. this is quite nice and it looks more feminine than the other down coats out there. the coat itself runs just true to my shirt size but not what i want for a coat. i will be returning this for a size up because i will want to wear a sweater or at least maybe a thicker shirt under this especially for winter or fall. the fabric is decent and the weigh,4,1,500,0.02927350427350428,Positive
"Love the aqua print, which looks vaguely japanese to me. the quality is good, but unlike the other reviewer, i had to size up. my usual size x small was too tight. wish there were more colors.",5,1,192,0.11205357142857142,Positive
"Height: 5'2""
weight: 118-120 lbs
bust: 34b or 32c
waist: 27""-28""
hips: 37""-38""

i like this dress a lot, but it would have required tailoring the skirt. i'm petite, but for whatever reason most regular sized clothing fit me well, and petites clothes are usually too short in the arms or legs for me. the midi length is better suited to taller women. in the photo it looks like it hits just below the model's knee, but on me it hit below the fullest part of my calf.

i ordered the 0 and the 2",4,1,500,0.19166666666666665,Positive
"I got this top in an xs and the fit is great. the top is a little darker than pictured. it looks great with white, kaki and denim.",5,1,130,0.4017857142857143,Positive
"I purchased this early in summer and have worn it a lot. you can dress it up or down, and since it's comfortable you will want to wear it a lot. i can wear it for everything from walking the dog to going out to dinner.. i bought 2 jumpsuits this summer and this is by far my favorite. the fit is flattering, fitted but not tight and the self-tie belt gives your waist definition so the overall look is hourglass. i am tall and i normally take an xs or s. i went with the s to ensure that it was long",5,1,499,0.15337301587301586,Positive
